filename|document_id|has_extracted_metadata|abstract|author_surnames|authors|document_type|doi|extraction_method|file_path|harvard_citation|keywords|language|llm_extracted|original_filename|publication_date|publisher|source_url|title|uploaded_via
Out of the Crisis, Reissue - Deming, W. Edwards; Cahill, Kevin Edwards; Allan, Kelly L_.pdf|de89f3b0-2721-41b8-8acc-15b866de5e80|Yes||Deming|W. Edwards Deming|||llm_analysis|/home/appuser/app/uploads/0b3ab1f6-3dd3-4841-abf9-024696ac9e6e.pdf|||English|True|Out of the Crisis, Reissue - Deming, W. Edwards; Cahill, Kevin Edwards; Allan, Kelly L_.pdf|2018|Massachusetts Institute of Technology||Out of the Crisis|api_v2
The Agile–Stage-Gate Hybrid Model_A Promising New Approach and a New Research Opportunity.pdf|62563fb2-bd78-49ae-819e-b4b7bb28f81c|Yes||Cooper; Sommer|Robert G. Cooper; Anita F. Sommer|||llm_analysis|/home/appuser/app/uploads/f9ec261e-f1f6-4e31-a9b8-1c0a361e1368.pdf||Agile; Stage-Gate; hybrid model; new product development; manufacturing; software; customer needs; team communication|English|True|The Agile–Stage-Gate Hybrid Model_A Promising New Approach and a New Research Opportunity.pdf||||The Agile–Stage-Gate Hybrid Model: A Promising New Approach and a New Research Opportunity|api_v2
Effective Project Management_ Traditional, Agile, Extreme, -- Robert K_ Wysocki -- 1, 2019 -- Wiley -- 10_1002_9781119562757 -- 47b5808564019863dfc0258a66ebee6b -- Anna’s Archive.pdf|8391f2a5-7fed-4ef9-8685-0e84ed76115e|Yes||Wysocki|Robert K. Wysocki|||llm_analysis|/home/appuser/app/uploads/e598db7b-e7de-4cb7-9b4d-7e44c180a381.pdf||project management; agile; extreme; hybrid||True|Effective Project Management_ Traditional, Agile, Extreme, -- Robert K_ Wysocki -- 1, 2019 -- Wiley -- 10_1002_9781119562757 -- 47b5808564019863dfc0258a66ebee6b -- Anna’s Archive.pdf||Wiley||Effective Project Management|api_v2
Team of Teams_ New Rules of Engagement for a Complex World - Gey McChrystal & David Silverman & Tantum Collins & Chris Fussell.pdf|937d769e-1a05-4fc4-974b-7932413e571e|Yes||McChrystal; Collins; Silverman; Fussell|Stanley McChrystal; Tantum Collins; David Silverman; Chris Fussell|Not specified||llm_analysis|/home/appuser/app/uploads/2584224f-a3c5-4165-ac5e-3b557d25470e.pdf||organizational change; team; engagement; complex world; system|English|True|Team of Teams_ New Rules of Engagement for a Complex World - Gey McChrystal & David Silverman & Tantum Collins & Chris Fussell.pdf||Not specified||Team of Teams: New Rules of Engagement for a Complex World|api_v2
A New History of Management -- Stephen Cummings, Todd Bridgman, John Hassard, Michael -- 1, 2017.pdf|bed11fee-52f4-4774-8740-33b3ff9fca35|Yes|A New History of Management disputes conventional perspectives on the development of management theories and provides a critical outline of presentday management, highlighting alternative conceptions of good management focussed on ethical aims, sustainability and new views of good practice.|Cummings; Bridgman; Hassard; Rowlinson|Stephen Cummings; Todd Bridgman; John Hassard; Michael Rowlinson|book||llm_analysis|/home/appuser/app/uploads/42b8b309-a80e-448a-af09-2923c09c859c.pdf|Cummings, S., Bridgman, T., Hassard, J. & Rowlinson, M. (2024) A New History of Management. [Book]. Victoria University of Wellington.|management; history; ethics; sustainability; organization|English|True|A New History of Management -- Stephen Cummings, Todd Bridgman, John Hassard, Michael -- 1, 2017.pdf||Victoria University of Wellington||A New History of Management|api_v2
Concurrent Engineering Approaches for Sustainable Product -- Nel Wognum, Richard Curran (auth_), Josip Stjepandić, Georg -- 1, 2013 -- Springer-Verlag -- 10_1007_978-1-4471-4.pdf|952ebbc2-a690-4918-863a-744e449ff30b|Yes||Stjepandi; Bil|Josip Stjepandi Georg Rock; Cees Bil|Proceedings||llm_analysis|/home/appuser/app/uploads/7af7fa20-3dad-4766-98db-6d752b0d81e7.pdf||Concurrent Engineering; Sustainable Product Development; Multi-Disciplinary Environment||True|Concurrent Engineering Approaches for Sustainable Product -- Nel Wognum, Richard Curran (auth_), Josip Stjepandić, Georg -- 1, 2013 -- Springer-Verlag -- 10_1007_978-1-4471-4.pdf||ISPE||Concurrent Engineering Approaches for Sustainable Product Development in a Multi-Disciplinary Environment|api_v2
everett-m-rogers-diffusion-of-innovations.pdf|cfce5806-535a-4646-8640-6a37e4cbc2f3|Yes|This book explores the diffusion of innovations, examining the elements involved and tracing the history of research in this area.|Rogers; Shoemaker|Everett M. Rogers; F. Floyd Shoemaker|book||llm_analysis|/home/appuser/app/uploads/d2e4d19f-a572-4cf2-9c5d-8fd760190077.pdf|Rogers, E. M. & Shoemaker, F. F. (1983) *Diffusion of Innovations*. New York: The Free Press.|diffusion of innovations; communication; social system; innovation; research|English|True|everett-m-rogers-diffusion-of-innovations.pdf|1983|The Free Press||Diffusion of Innovations|api_v2
How the Toyota Production System was Created - T Ohno.pdf|40cf26d9-fa17-491d-b553-9ced373d0aed|Yes|The oil crisis of 1973 led to public interest in the Toyota production system. Toyota's ability to maintain profit position during an economic slump attracted attention.|Ohno|Taiichi Ohno|research paper|10.2753/JES1097-203X100483|llm_analysis|/home/appuser/app/uploads/cb0b18e5-c3f3-48ff-bb84-071982215cae.pdf|Ohno, T. (1982). How the Toyota Production System was Created. Japanese Economic Studies, 10(4), 83-101.|Toyota Production System; mass-production; Japanese economy; Oil Crisis|English|True|How the Toyota Production System was Created - T Ohno.pdf|2014-12-20|Taylor & Francis|http://www.tandfonline.com/loi/mjes18|How the Toyota Production System was Created|api_v2
Team Effectiveness In Complex Organizations_ -- Eduardo Salas, Gerald F_ Goodwin, C_ Shawn Burke -- SIOP Organizational Frontiers Series, 2008.pdf|6df95167-b06b-4942-916b-1473f25cd596|Yes||||||llm_analysis|/home/appuser/app/uploads/3fcc4386-6308-4ce7-bffc-5a683abcd002.pdf||team effectiveness; complex organizations; cross-disciplinary; perspectives; approaches||True|Team Effectiveness In Complex Organizations_ -- Eduardo Salas, Gerald F_ Goodwin, C_ Shawn Burke -- SIOP Organizational Frontiers Series, 2008.pdf||||Team Effectiveness in Complex Organizations Cross-Disciplinary Perspectives and Approaches|api_v2
Functional phase review.pdf|fd2c4646-7127-4f52-9ff9-4b7cfacf5cc5|Yes|Recently, the success in new product development process has become one of the main competitive advantages. Thus, many companies are looking for improving their new product development (NPD) process, to launching products as fast as possible with the required quality and low costs.|Valeri; Santiago; Cunha Resende; Trabasso; Gonzaga|Valeri, Sandro Giovanni; Santiago, Marcelo Pereira Campello; Cunha Resende, Antônio da; Trabasso, Hugo Borelli; Gonzaga, Luís|research paper||llm_analysis|/home/appuser/app/uploads/347cb897-4f99-4b0c-94ed-0a15b7f21332.pdf||Phase review; stage gates; new product development; implementation processes; project management|English|True|Functional phase review.pdf||||IMPLEMENTATION OF THE PHASE REVIEW PROCESS IN THE NEW PRODUCT DEVELOPMENT: A SUCCESSFUL EXPERIENCE|api_v2
R. G. Cooper 1994 - Third-generation New Product Processes.pdf|ab3f85eb-5c5b-4bae-8c9c-751ca45db8a1|Yes|New product processes—formal “stage-gate” systems—have been widely adopted. While Second-Generation roadmaps represent a major improvement, they too have weaknesses. This article speculates about the nature of an emerging next generation of new product processes, proposing fundamental changes revolving around four Fs: fluid and adaptable, fuzzy gates, sharper focus, and more flexibility.|Cooper|Robert G. Cooper|Perspective||llm_analysis|/home/appuser/app/uploads/a7281368-9a73-4c01-ad46-2ad9c369ff50.pdf||new product processes; stage-gate systems; product innovation; new product development|English|True|R. G. Cooper 1994 - Third-generation New Product Processes.pdf||Addison-Wesley, Cambridge, MA||Third-Generation New Product Processes|api_v2
What Is Total Quality Control__ The Japanese Way (English -- by Kaoru Ishikawa; translated by David J_ Lu -- Prentice Hall business classics.pdf|184f78f9-0ec9-4e26-ba10-e0ca9b4b7a5a|Yes||Ishikawa|Kaoru Ishikawa|||llm_analysis|/home/appuser/app/uploads/b85bdb17-7c02-49d2-a08e-0e6ecf6d3e8e.pdf||Total Quality Control; TQC; Quality Improvement; Japanese Philosophy; Operational Aspects|English|True|What Is Total Quality Control__ The Japanese Way (English -- by Kaoru Ishikawa; translated by David J_ Lu -- Prentice Hall business classics.pdf||Prentice-Hall||What Is Total Quality Control? The Japanese Way|api_v2
Innovator's Dilemma_ When New Technologies Cause Grnnovation and Change), The - Clayton M. Christensen.pdf|8ec74aae-9bd9-4c7e-8b0b-485ec1a34b90|Yes|The Innovator's Dilemma explores how successful companies can fail when faced with disruptive technologies.|Christensen|Clayton M. Christensen|||llm_analysis|/home/appuser/app/uploads/25976869-679c-4b6b-8831-421dcd9dca98.pdf||innovation; technology; firms; failure; change||True|Innovator's Dilemma_ When New Technologies Cause Grnnovation and Change), The - Clayton M. Christensen.pdf|1997|Harvard College||The Innovator's Dilemma: When New Technologies Cause Great Firms to Fail|api_v2
CURRENT CHALLENGES OF AGILE HARDWARE DEVELOPMENT.pdf|fadec574-5f20-4fa1-ad29-245dad4ef1fe|Yes|Originally developed for the software industry, agile development is being applied in the hardware field nowadays as well due to its benefits when having to deal with volatile, uncertain, complex and ambiguous (VUCA) conditions. In this publication, based on the challenges identified by Ovesen in 2012, the current challenges of agile development for hardware are gathered using an embedded design approach, ensuring its actuality based on the latest surveys and empirical data.|Atzberger; Paetzold|Alexander Atzberger; Kristin Paetzold|Publication||llm_analysis|/home/appuser/app/uploads/b19d9c57-fee0-471c-be35-809e74189503.pdf||Agile hardware development; Research methodologies and methods; Design methodology; New product development|English|True|CURRENT CHALLENGES OF AGILE HARDWARE DEVELOPMENT.pdf|Unknown|Unknown||CURRENT CHALLENGES OF AGILE HARDWARE DEVELOPMENT: WHAT ARE STILL THE PAIN POINTS NOWADAYS?|api_v2
Sohlenius, G. (1992). Concurrent Engineering. CIRP Annals - Manufacturing Technology, 41(2), 645–655. Elsevier.pdf|9df4df59-b242-4e58-a8fc-a970fd63eeab|Yes||Sohlenius; Agerman; Boothroyd; Delbressine; Eversheim; Kimura; Krause; Kumara; Lu; Rasch; Suh; Tipnis; Weck; van der Wolf|G. Sohlenius; E. Agerman; G. Boothroyd; F.L.M. Delbressine; W. Eversheim; F. Kimura; F-L Krause; S.R.T Kumara; S. Lu; F-O Rasch; N.P. Suh; V. Tipnis; M. Weck; A.C.H. van der Wolf|||llm_analysis|/home/appuser/app/uploads/7500c50e-2efd-4f62-a16d-eb8173c8b8d6.pdf||Concurrent Engineering; Manufacturing; Design; Lean Production; Flexible Automation||True|Sohlenius, G. (1992). Concurrent Engineering. CIRP Annals - Manufacturing Technology, 41(2), 645–655. Elsevier.pdf|Month YYYY|||Concurrent Engineering|api_v2
Quality Function Deployment (c)_ Integrating Customer -- Yoji Akao, author and editor-in-chief; translated by Glenn -- Cambridge, Mass, Massachusetts.pdf|220757ad-66e7-4f3e-a950-0c135f279479|Yes||Akao|Yoji Akao|book||llm_analysis|/home/appuser/app/uploads/ff84864a-3ad1-4c09-9796-cb01988f1360.pdf|||English|True|Quality Function Deployment (c)_ Integrating Customer -- Yoji Akao, author and editor-in-chief; translated by Glenn -- Cambridge, Mass, Massachusetts.pdf||Quality Function||QUALITY FUNCTION DEPLOYMENT Integrating Customer Requirements into Product Design|api_v2
XP-reprint.pdf|a9d1526b-7471-4420-b57c-8eba40caa401|Yes|XP is a lightweight methodology for small-to-medium-sized teams developing software in the face of vague or rapidly changing requirements. It focuses on excellent application of programming techniques, clear communication, and teamwork. XP addresses both technique and good relationships to be successful.|Beck|Kent Beck|book||llm_analysis|/home/appuser/app/uploads/d16e2130-6f3c-45d1-bdca-be030580f901.pdf|Beck, K. (n.d.). Extreme Programming Explained: Embrace Change.|software development; extreme programming; XP; methodology; agile; communication; teamwork; feedback; simplicity; courage; respect|English|True|XP-reprint.pdf||||Extreme Programming Explained: Embrace Change|api_v2
Tim-Brown-Design-Thinking.pdf|4d0f2f1c-26a9-47a9-9584-3b3db1889911|Yes||Brown; Edison|Tim Brown; Thomas Edison|||llm_analysis|/home/appuser/app/uploads/abc547ee-3209-4c9d-b6ca-4ddd620e897b.pdf||design thinking; innovation; products; services; processes; strategy; R&D; experimentation|English|True|Tim-Brown-Design-Thinking.pdf||||Design Thinking|api_v2
Scaling up_ how a few companies make it___ and why the rest -- Harnish, Verne, author; Gazelles Inc_, author -- 2014.pdf|7132d5ad-25fb-4e2e-99e2-9c44601b6946|Yes|Scaling Up is every entrepreneur's dream —and nightmare. Hypergrowth is terrifying, and it's most often sucs that kill great pans. This book s w eyn aviceoferg spechab rosan o nsre thatrowth the beiniot he uccs.|Harnish; Gazelles|Verne Harnish; the team at Gazelles|book||llm_analysis|/home/appuser/app/uploads/74f6ee4d-0a0c-4283-9c76-1aaf4a75fbf4.pdf||entrepreneurship; growth; strategy; cash; execution; scaling up; business|English|True|Scaling up_ how a few companies make it___ and why the rest -- Harnish, Verne, author; Gazelles Inc_, author -- 2014.pdf|2022|Gazelles||Mastering the Rockefeller Habits 2.0 How a Few Companies Make It...and Why the Rest Don't|api_v2
ScrumGuide.pdf|e38c7000-7baa-4c89-ba04-a16af5d8b84f|Yes|The Scrum Guide defines Scrum. It has evolved since 2010 and is used worldwide, especially in complex work domains beyond software development.|Schwaber; Sutherland|Ken Schwaber; Jeff Sutherland|Guide||llm_analysis|/home/appuser/app/uploads/4714836e-57c1-4bf5-95a7-9bbf93fd2923.pdf||Scrum; framework; rules; developers; product development|English|True|ScrumGuide.pdf|2020-11||https://creativecommons.org/licenses/by-sa/4.0/|The Scrum Guide|api_v2
User_centered_design.pdf|24ee479f-c872-427f-b1e8-1f995a8d8da9|Yes|User-centered design (UCD) is a broad term to describe design processes in which end-users influence how a design takes shape. It is both a broad philosophy and variety of methods.|Abras; Maloney-Krichmar; Preece|Chadia Abras; Diane Maloney-Krichmar; Jenny Preece|chapter||llm_analysis|/home/appuser/app/uploads/14d2c4ca-d52c-4064-871d-7a8662ee6a2e.pdf||user-centered design; usability; human-computer interaction; design principles||True|User_centered_design.pdf|2004|Sage Publications|In Bainbridge, W. Encyclopedia of Human-Computer Interaction. Thousand Oaks:|User-Centered Design|api_v2
Agile-Processes-for-Hardware-Development-cPrime.pdf|74d47d92-0459-4f1c-bd1f-935027bb47cb|Yes|Hardware and software development are quite different, in terms of the concrete developmental activities. Thus it might seem that Scrum, the Agile process often used for software development, would not be appropriate for hardware development. However, most of the obvious differences between hardware and software development have to do with the nature and sequencing of deliverables, rather than unique attributes of the work that constrain the process. The research conducted for this paper indicates that a Scrum process is quite appropriate for hardware development. Thus this paper describes a practical Agile process for Agile hardware development, which is almost identical to the Scrum process as it is commonly used for developing software.|Author|Author|||llm_analysis|/home/appuser/app/uploads/9c77128d-5f1e-490e-80c8-a524b492e22f.pdf||Agile; Scrum; Hardware Development; Software Development; Process||True|Agile-Processes-for-Hardware-Development-cPrime.pdf||||Agile Processes for Hardware Development|api_v2
AgileSoftwareDevelopmentMethodsReview_and_analsis.pdf|2697ba49-f152-4d2c-b299-04d979dcf0ec|Yes|Review and analysis|Abrahamsson; Salo; Ronkainen; Warsta|Pekka Abrahamsson; Outi Salo; Jussi Ronkainen; Juhani Warsta|publication||llm_analysis|/home/appuser/app/uploads/2bb80f61-779a-4a24-a31b-1b6abd53a446.pdf|Abrahamsson, P., Salo, O., Ronkainen, J. & Warsta, J. (2002) Agile software development methods: Review and analysis. VTT publication 478, Espoo, Finland.|Software development; software project management; agile process; light-weight process; extreme programming; feature driven development; dynamic systems development method; scrum||True|AgileSoftwareDevelopmentMethodsReview_and_analsis.pdf|2002|VTT|http://www.vtt.fi/inf/pdf/publications/2002/P478.pdf|Agile Software Development Methods: Review and Analysis|api_v2
Agile Project management - Beyond software domain.pdf|558655de-fd56-4d43-9698-2823c17f3ef0|Yes|The objective of this study is to summarize and critically examine contributions of past research and existing knowledge concerning APM applicability beyond software industry and its co-existence with traditional project management (TPM) practice, and to identify the potential challenges and benefits of APM in innovation and new product development processes.|Ciric; Lalic; Gracanin; Palcic; Zivlak|Danijela Ciric; Bojan Lalic; Danijela Gracanin; Iztok Palcic; Nikola Zivlak|research paper||llm_analysis|/home/appuser/app/uploads/33bc3edd-602a-4a26-ab36-4276da910484.pdf||agile; agile project management; innovation; new product development|English|True|Agile Project management - Beyond software domain.pdf|||[1]|Agile Project Management in New Product Development and Innovation Processes: Challenges and Benefits Beyond Software Domain|api_v2
ludwig-von-bertalanfy-general-system-theory-a-new-approach.pdf|613c3378-4b05-491a-b68f-e9d84089f08f|Yes||Pearl; Bertalanffy|Pearl, Raymond; Ludwig Von Bertalanffy|||llm_analysis|/home/appuser/app/uploads/dc2ff47f-76eb-4504-8858-9e9922dcd7be.pdf||general system theory; biology; science; organization; wholeness|English|True|ludwig-von-bertalanfy-general-system-theory-a-new-approach.pdf|1931|Wayne State University Press||Human biology.|api_v2
An-Intro-to-MAHD-Ebook-Final-7_25_18.pdf|c452b338-9a25-470a-8cd0-d53b54d4e755|Yes|This e-book introduces the Modified Agile for Hardware Development (MAHD) Framework, explaining the differences between hardware and software Agile methods and highlighting the framework's unique elements. It provides tips on getting started with MAHD and addresses whether Agile is suitable for hardware development.|Simpson; Hinkle|Dorian Simpson; Gary Hinkle|e-book||llm_analysis|/home/appuser/app/uploads/6ee490bb-58df-46cc-bffb-b668b6cc99d8.pdf|Simpson, D. and Hinkle, G. (YYYY). *An Introduction to MAHD TM Modified Agile for Hardware Development Framework The Benefits of Agile, the Needs of Physical Product Development*. MAHD Framework LLC.|Agile; hardware development; MAHD Framework; modified agile; hardware; Scrum|English|True|An-Intro-to-MAHD-Ebook-Final-7_25_18.pdf||MAHD Framework LLC||An Introduction to MAHD TM Modified Agile for Hardware Development Framework The Benefits of Agile, the Needs of Physical Product Development|api_v2
AgileNPD_01_21.pdf|16db5d83-9e75-414b-ab3f-e014f17202b4|Yes|This research aims to bridge the gap between academic literature and industry practice regarding cross-industry implementations of Agile practices in new product development. The study expands the body of knowledge on the current state of Agile in new product development for not-purely-software projects and conceptualizes the differences in interpretation.|Gerdes; Phaal; Lynch|Linus Gerdes; Dr. Rob Phaal; Dr. Valerie Lynch|working paper||llm_analysis|/home/appuser/app/uploads/e1478d31-e687-486d-943b-45a362c71161.pdf|Gerdes, L., Phaal, R. & Lynch, V. (2021) ‘Agile New Product Development in Not-PurelySoftware Projects’, Centre for Technology Management working paper series, No. 1.|Agile; New Product Development; Manufacturing; Software; Cross-industry; Project Governance; Prototyping|English|True|AgileNPD_01_21.pdf|2021-03|Centre for Technology Management||Agile New Product Development in Not-PurelySoftware Projects|api_v2
Agile Development of Physical Products.pdf|a8d9cee0-2320-4a69-9997-dbfa86f344ff|Yes|An Empirical Study about Motivations, Potentials and Applicability|Schmidt; Weiss; Paetzold|Tobias Sebastian Schmidt; Stefan Weiss; Kristin Paetzold|Report||llm_analysis|/home/appuser/app/uploads/7e42379e-c16a-477f-b429-c41cad2c9348.pdf|Schmidt, T. S., Weiss, S., & Paetzold, K. (2018). Agile Development of Physical Products: An Empirical Study about Motivations, Potentials and Applicability. Universität der Bundeswehr München.|agile development; physical products; empirical study; motivations; applicability|English|True|Agile Development of Physical Products.pdf|2018|Universität der Bundeswehr München|www.unibw.de/produktentwicklung-en|Agile Development of Physical Products: An Empirical Study about Motivations, Potentials and Applicability|api_v2
Doing Agile Right_ Transformation Without Chaos -- Steven H_ Berez; Sarah Elk; Darrell K_ Rigby -- 2020 -- Harvard Business Review Press -- 1633698718 -- b886eaa59424973cf9cfd6d3.pdf|1edc5b36-36e4-4386-b313-8685e693f23a|Yes||||||llm_analysis|/home/appuser/app/uploads/a35122fa-b349-40b7-9450-47e83a7cbc49.pdf||Agile; Leadership; Planning; Organization; Processes; Technology||True|Doing Agile Right_ Transformation Without Chaos -- Steven H_ Berez; Sarah Elk; Darrell K_ Rigby -- 2020 -- Harvard Business Review Press -- 1633698718 -- b886eaa59424973cf9cfd6d3.pdf||||The Unbalanced Company|api_v2
